銘柄コード,銘柄名称,銘柄略称
3067,東京一番フーズ,東京一番フーズ
3068,ＷＤＩ,ＷＤＩ
3069,ＪＦＬＡホールディングス,ＪＦＬＡＨＤ
3070,ジェリービーンズグループ,Ｇ－ジェリービーンズ
3071,ストリーム,ストリーム
3073,ＤＤグループ,ＤＤグループ
3075,銚子丸,銚子丸
3076,あい　ホールディングス,あいＨＤ
3077,ホリイフードサービス,ホリイフード
3079,ディーブイエックス,ＤＶｘ
3080,ジェーソン,ジェーソン
3082,きちりホールディングス,きちりＨＤ
3083,スターシーズ,スターシーズ
3086,Ｊ．フロント　リテイリング,Ｊフロント
3087,ドトール・日レスホールディングス,ドトル日レス
3088,マツキヨココカラ＆カンパニー,マツキヨココカラ
3089,テクノアルファ,テクノアルファ
3091,ブロンコビリー,ブロンコＢ
3092,ＺＯＺＯ,ＺＯＺＯ
3093,トレジャー・ファクトリー,トレファク
3094,スーパーバリュー,スーパーＶ
3096,オーシャンシステム,オーシャン
3097,物語コーポレーション,物語コーポ
3099,三越伊勢丹ホールディングス,ミツコシイセタン
3101,東洋紡,東洋紡
3103,ユニチカ,ユニチカ
3104,富士紡ホールディングス,富士紡ＨＤ
3105,日清紡ホールディングス,日清紡ＨＤ
3106,倉敷紡績,クラボウ
3107,ダイワボウホールディングス,ダイワボＨＤ
3109,シキボウ,シキボウ
3110,日東紡績,日東紡
3111,オーミケンシ,オーミケンシ
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,ＵＮＩＶＡ・Ｏａｋ
3116,トヨタ紡織,トヨタ紡織
3121,マーチャント・バンカーズ,マーチャント
3123,サイボー,サイボー
3131,シンデン・ハイテックス,シンデンハイテク
3132,マクニカホールディングス,マクニカＨＤ
3133,海帆,Ｇ－海帆
3134,Ｈａｍｅｅ,Ｈａｍｅｅ
3135,マーケットエンタープライズ,マーケットエンター
3137,ファンデリー,ファンデリー
3138,富士山マガジンサービス,富士山マガジン
3139,ラクト・ジャパン,ラクト・ジャパン
3140,ＢＲＵＮＯ,Ｇ－ＢＲＵＮＯ
3141,ウエルシアホールディングス,ウエルシアＨＤ
3143,オーウイル,オーウイル
3148,クリエイトＳＤホールディングス,クリエイトＳＤＨ
3150,グリムス,グリムス
3151,バイタルケーエスケー・ホールディングス,バイタルＫＳＫ
3153,八洲電機,八洲電機
3154,メディアスホールディングス,メディアスＨＤ
3156,レスター,レスター
3157,ジオリーブグループ,ジオリーブグループ
3159,丸善ＣＨＩホールディングス,丸善ＣＨＩ
3160,大光,大光
3161,アゼアス,アゼアス
3166,ＯＣＨＩホールディングス,ＯＣＨＩ・ＨＤ
3167,ＴＯＫＡＩホールディングス,ＴＯＫＡＩ　ＨＤ
3168,ＭＥＲＦ,ＭＥＲＦ
3169,ミサワ,ミサワ
3172,ティーライフ,ティーライフ
3173,Ｃｏｍｉｎｉｘ,Ｃｏｍｉｎｉｘ
3174,ハピネス・アンド・ディ,ハピネス＆Ｄ
3175,エー・ピーホールディングス,ＡＰＨＤ
3176,三洋貿易,三洋貿易
3177,ありがとうサービス,ありがとうＳ
3178,チムニー,チムニー
3179,シュッピン,シュッピン
3180,ビューティガレージ,ビューティガレージ
3181,買取王国,買取王国
3182,オイシックス,オイシックス
3183,ウイン・パートナーズ,ウイン・パートナーズ
